step: 4625, t: 1, cfl: 0.21, E: 19.4247, Z: 211.2887, W: -12.2160, walltime: 0.15 min
step: 4650, t: 1, cfl: 0.21, E: 19.5154, Z: 212.9125, W: -102.9025, walltime: 0.15 min
step: 4675, t: 1, cfl: 0.21, E: 19.5588, Z: 213.6405, W: -44.5017, walltime: 0.15 min
step: 4700, t: 1, cfl: 0.21, E: 19.5596, Z: 214.0442, W: -0.1459, walltime: 0.15 min
step: 4725, t: 1, cfl: 0.21, E: 19.4883, Z: 211.9246, W: 166.5538, walltime: 0.15 min
step: 4750, t: 1, cfl: 0.22, E: 19.5262, Z: 214.0093, W: 45.2038, walltime: 0.15 min
step: 4775, t: 1, cfl: 0.22, E: 19.5198, Z: 215.2369, W: 131.2472, walltime: 0.15 min
step: 4800, t: 1, cfl: 0.22, E: 19.5714, Z: 216.2403, W: 31.9727, walltime: 0.15 min
step: 4825, t: 1, cfl: 0.22, E: 19.6329, Z: 217.4703, W: 111.2455, walltime: 0.15 min
step: 4850, t: 1, cfl: 0.22, E: 19.6635, Z: 218.6921, W: 101.4948, walltime: 0.15 min
step: 4875, t: 1, cfl: 0.22, E: 19.6852, Z: 220.7236, W: -80.7797, walltime: 0.15 min
step: 4900, t: 1, cfl: 0.22, E: 19.7135, Z: 220.7607, W: -163.5976, walltime: 0.15 min
step: 4925, t: 1, cfl: 0.23, E: 19.6863, Z: 221.2642, W: 44.2359, walltime: 0.15 min
step: 4950, t: 1, cfl: 0.23, E: 19.5825, Z: 220.0783, W: -70.1251, walltime: 0.15 min
step: 4975, t: 1, cfl: 0.23, E: 19.6359, Z: 220.9192, W: -101.2481, walltime: 0.15 min
step: 5000, t: 1, cfl: 0.23, E: 19.5882, Z: 220.0023, W: 36.1109, walltime: 0.15 min
step: 5025, t: 1, cfl: 0.24, E: 19.5373, Z: 218.1594, W: -21.5382, walltime: 0.15 min
step: 5050, t: 1, cfl: 0.23, E: 19.6844, Z: 221.0062, W: 80.1181, walltime: 0.15 min
step: 5075, t: 1, cfl: 0.23, E: 19.7014, Z: 220.3948, W: 112.7068, walltime: 0.15 min
step: 5100, t: 1, cfl: 0.23, E: 19.7519, Z: 221.3239, W: -190.9883, walltime: 0.16 min
step: 5125, t: 1, cfl: 0.23, E: 19.8078, Z: 221.9704, W: -72.2577, walltime: 0.16 min
step: 5150, t: 1, cfl: 0.23, E: 19.9875, Z: 224.5961, W: -108.3339, walltime: 0.16 min
step: 5175, t: 1, cfl: 0.23, E: 20.1021, Z: 227.4394, W: 23.9808, walltime: 0.16 min
step: 5200, t: 1, cfl: 0.23, E: 20.1833, Z: 230.6022, W: 97.5114, walltime: 0.16 min
step: 5225, t: 1, cfl: 0.23, E: 20.2285, Z: 231.4371, W: 42.0212, walltime: 0.16 min
step: 5250, t: 1, cfl: 0.22, E: 20.2343, Z: 231.2772, W: 86.4385, walltime: 0.16 min
step: 5275, t: 1, cfl: 0.22, E: 20.1236, Z: 228.7636, W: -51.0242, walltime: 0.16 min
step: 5300, t: 1, cfl: 0.21, E: 20.1096, Z: 228.7502, W: -170.1562, walltime: 0.16 min
step: 5325, t: 1, cfl: 0.21, E: 19.9552, Z: 224.5716, W: -88.3652, walltime: 0.16 min
